registerno,department,semester,staff,subject,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,average
922523244047,Computer Science and Business Systems,4,Pavithra,Database Management Systems,2.00,1.00,1.00,2.00,3.00,2.00,1.00,3.00,2.00,2.00,1.90
922523244047,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems,9.00,8.00,8.00,8.00,8.00,8.00,8.00,9.00,8.00,8.00,8.20
922523244047,Computer Science and Business Systems,4,Latha,Introduction to Buisness System,3.00,4.00,2.00,4.00,3.00,3.00,1.00,2.00,1.00,3.00,2.60
922523244047,Computer Science and Business Systems,4,Manonmani,Machine Learning,6.00,7.00,7.00,6.00,7.00,7.00,7.00,6.00,7.00,6.00,6.60
922523244047,Computer Science and Business Systems,4,Thulasidasan,Environmental Sciences and Sustainability,9.00,9.00,9.00,10.00,9.00,9.00,10.00,10.00,9.00,10.00,9.40
922523244047,Computer Science and Business Systems,4,Pavithra,Database Management Systems Laboratory,5.00,5.00,6.00,6.00,5.00,6.00,3.00,3.00,3.00,3.00,4.50
922523244047,Computer Science and Business Systems,4,Manonmani,Machine Learning Laboratory,9.00,8.00,8.00,7.00,9.00,6.00,8.00,9.00,8.00,8.00,8.00
922523244047,Computer Science and Business Systems,4,Kalyanasundaram,Buisness Communication,7.00,6.00,7.00,7.00,6.00,6.00,8.00,7.00,7.00,8.00,6.90
922523244047,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems Laboratory,7.00,7.00,8.00,7.00,8.00,7.00,8.00,6.00,8.00,6.00,7.20
922523244008,Computer Science and Business Systems,4,Syed Fazlullah,Probability and Statistics,5.00,5.00,3.00,3.00,4.00,4.00,4.00,5.00,6.00,4.00,4.30
922523244008,Computer Science and Business Systems,4,Pavithra,Database Management Systems,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
922523244008,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
922523244008,Computer Science and Business Systems,4,Latha,Introduction to Buisness System,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
922523244008,Computer Science and Business Systems,4,Manonmani,Machine Learning,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
922523244008,Computer Science and Business Systems,4,Thulasidasan,Environmental Sciences and Sustainability,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.00,8.00,10.00,9.70
922523244008,Computer Science and Business Systems,4,Pavithra,Database Management Systems Laboratory,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
922523244008,Computer Science and Business Systems,4,Manonmani,Machine Learning Laboratory,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
922523244008,Computer Science and Business Systems,4,Kalyanasundaram,Buisness Communication,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
922523244008,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems Laboratory,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
922523244004,Computer Science and Business Systems,4,Syed Fazlullah,Probability and Statistics,7.00,7.00,8.00,7.00,7.00,9.00,7.00,8.00,7.00,9.00,7.60
922523244004,Computer Science and Business Systems,4,Pavithra,Database Management Systems,9.00,9.00,9.00,8.00,9.00,10.00,9.00,9.00,9.00,10.00,9.10
922523244004,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems,10.00,10.00,10.00,10.00,10.00,10.00,9.00,9.00,10.00,9.00,9.70
922523244004,Computer Science and Business Systems,4,Latha,Introduction to Buisness System,9.00,9.00,9.00,8.00,9.00,8.00,9.00,9.00,8.00,9.00,8.70
922523244004,Computer Science and Business Systems,4,Manonmani,Machine Learning,9.00,9.00,10.00,8.00,10.00,10.00,8.00,9.00,10.00,8.00,9.10
922523244004,Computer Science and Business Systems,4,Thulasidasan,Environmental Sciences and Sustainability,10.00,9.00,10.00,9.00,9.00,9.00,8.00,9.00,10.00,9.00,9.20
922523244004,Computer Science and Business Systems,4,Pavithra,Database Management Systems Laboratory,10.00,10.00,8.00,9.00,10.00,10.00,7.00,9.00,10.00,10.00,9.30
922523244004,Computer Science and Business Systems,4,Manonmani,Machine Learning Laboratory,10.00,10.00,9.00,9.00,10.00,9.00,10.00,9.00,9.00,10.00,9.50
922523244004,Computer Science and Business Systems,4,Kalyanasundaram,Buisness Communication,10.00,9.00,8.00,8.00,10.00,9.00,9.00,9.00,10.00,10.00,9.20
922523244004,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems Laboratory,8.00,9.00,9.00,10.00,10.00,10.00,8.00,9.00,10.00,9.00,9.20
922523244055,Computer Science and Business Systems,4,Syed Fazlullah,Probability and Statistics,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00
922523244055,Computer Science and Business Systems,4,Pavithra,Database Management Systems,7.00,6.00,7.00,7.00,6.00,7.00,7.00,7.00,7.00,8.00,6.90
922523244055,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00
922523244055,Computer Science and Business Systems,4,Latha,Introduction to Buisness System,6.00,7.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.00,6.10
922523244055,Computer Science and Business Systems,4,Manonmani,Machine Learning,8.00,8.00,8.00,8.00,9.00,9.00,8.00,9.00,9.00,8.00,8.40
922523244055,Computer Science and Business Systems,4,Thulasidasan,Environmental Sciences and Sustainability,9.00,9.00,8.00,7.00,8.00,8.00,9.00,8.00,8.00,8.00,8.20
922523244055,Computer Science and Business Systems,4,Pavithra,Database Management Systems Laboratory,8.00,7.00,9.00,7.00,8.00,9.00,8.00,9.00,8.00,8.00,8.10
922523244055,Computer Science and Business Systems,4,Manonmani,Machine Learning Laboratory,7.00,9.00,8.00,9.00,8.00,9.00,8.00,8.00,8.00,10.00,8.40
922523244055,Computer Science and Business Systems,4,Kalyanasundaram,Buisness Communication,9.00,8.00,9.00,9.00,9.00,9.00,8.00,9.00,9.00,9.00,8.80
922523244055,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems Laboratory,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00
922523244013,Computer Science and Business Systems,4,Syed Fazlullah,Probability and Statistics,8.00,7.00,8.00,8.00,9.00,6.00,8.00,8.00,8.00,7.00,7.70
922523244013,Computer Science and Business Systems,4,Pavithra,Database Management Systems,9.00,8.00,8.00,9.00,10.00,9.00,10.00,9.00,10.00,9.00,9.10
922523244013,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems,8.00,9.00,8.00,8.00,8.00,8.00,9.00,8.00,9.00,9.00,8.40
922523244013,Computer Science and Business Systems,4,Latha,Introduction to Buisness System,7.00,6.00,7.00,6.00,8.00,8.00,7.00,8.00,8.00,7.00,7.20
922523244013,Computer Science and Business Systems,4,Manonmani,Machine Learning,8.00,7.00,8.00,9.00,8.00,9.00,10.00,7.00,7.00,8.00,8.10
922523244013,Computer Science and Business Systems,4,Thulasidasan,Environmental Sciences and Sustainability,8.00,7.00,7.00,8.00,8.00,8.00,6.00,6.00,8.00,7.00,7.30
922523244013,Computer Science and Business Systems,4,Pavithra,Database Management Systems Laboratory,8.00,7.00,8.00,7.00,8.00,7.00,9.00,9.00,8.00,9.00,8.00
922523244013,Computer Science and Business Systems,4,Manonmani,Machine Learning Laboratory,8.00,9.00,10.00,8.00,9.00,7.00,9.00,9.00,8.00,10.00,8.70
922523244013,Computer Science and Business Systems,4,Kalyanasundaram,Buisness Communication,8.00,8.00,9.00,9.00,8.00,7.00,9.00,8.00,8.00,9.00,8.30
922523244013,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems Laboratory,9.00,9.00,8.00,9.00,7.00,9.00,8.00,8.00,7.00,8.00,8.20
922523244046,Computer Science and Business Systems,4,Syed Fazlullah,Probability and Statistics,5.00,8.00,7.00,8.00,7.00,7.00,7.00,4.00,8.00,10.00,7.10
922523244046,Computer Science and Business Systems,4,Pavithra,Database Management Systems,8.00,5.00,5.00,7.00,8.00,5.00,6.00,7.00,6.00,10.00,6.70
922523244046,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems,4.00,6.00,7.00,7.00,6.00,8.00,6.00,7.00,8.00,9.00,6.80
922523244046,Computer Science and Business Systems,4,Latha,Introduction to Buisness System,4.00,5.00,8.00,7.00,8.00,4.00,2.00,6.00,7.00,9.00,6.00
922523244046,Computer Science and Business Systems,4,Manonmani,Machine Learning,7.00,7.00,8.00,6.00,8.00,8.00,9.00,6.00,8.00,5.00,7.20
922523244046,Computer Science and Business Systems,4,Thulasidasan,Environmental Sciences and Sustainability,8.00,7.00,7.00,7.00,6.00,9.00,5.00,5.00,8.00,10.00,7.20
922523244046,Computer Science and Business Systems,4,Pavithra,Database Management Systems Laboratory,7.00,5.00,6.00,6.00,8.00,5.00,6.00,7.00,8.00,9.00,6.70
922523244046,Computer Science and Business Systems,4,Manonmani,Machine Learning Laboratory,7.00,8.00,8.00,8.00,8.00,8.00,10.00,9.00,7.00,10.00,8.30
922523244046,Computer Science and Business Systems,4,Kalyanasundaram,Buisness Communication,6.00,8.00,6.00,9.00,5.00,9.00,7.00,5.00,4.00,10.00,6.90
922523244046,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems Laboratory,4.00,6.00,3.00,7.00,8.00,7.00,7.00,6.00,6.00,10.00,6.40
922523244034,Computer Science and Business Systems,4,Syed Fazlullah,Probability and Statistics,5.00,6.00,7.00,6.00,6.00,5.00,7.00,5.00,5.00,5.00,5.70
922523244034,Computer Science and Business Systems,4,Pavithra,Database Management Systems,7.00,8.00,5.00,5.00,5.00,6.00,7.00,5.00,6.00,7.00,6.10
922523244034,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems,5.00,6.00,6.00,7.00,7.00,5.00,8.00,7.00,7.00,5.00,6.30
922523244034,Computer Science and Business Systems,4,Latha,Introduction to Buisness System,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
922523244034,Computer Science and Business Systems,4,Manonmani,Machine Learning,8.00,5.00,8.00,7.00,6.00,5.00,9.00,8.00,7.00,8.00,7.10
922523244034,Computer Science and Business Systems,4,Thulasidasan,Environmental Sciences and Sustainability,7.00,8.00,7.00,9.00,8.00,7.00,8.00,9.00,7.00,6.00,7.60
922523244034,Computer Science and Business Systems,4,Pavithra,Database Management Systems Laboratory,4.00,6.00,5.00,4.00,8.00,7.00,5.00,9.00,7.00,6.00,6.10
922523244034,Computer Science and Business Systems,4,Manonmani,Machine Learning Laboratory,10.00,10.00,8.00,7.00,7.00,4.00,10.00,9.00,9.00,9.00,8.30
922523244034,Computer Science and Business Systems,4,Kalyanasundaram,Buisness Communication,1.00,2.00,2.00,1.00,3.00,4.00,2.00,3.00,3.00,4.00,2.50
922523244034,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems Laboratory,6.00,4.00,9.00,7.00,8.00,7.00,8.00,8.00,6.00,9.00,7.20
922523244026,Computer Science and Business Systems,4,Syed Fazlullah,Probability and Statistics,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00
922523244026,Computer Science and Business Systems,4,Pavithra,Database Management Systems,7.00,6.00,7.00,7.00,7.00,6.00,7.00,7.00,6.00,6.00,6.60
922523244026,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
922523244026,Computer Science and Business Systems,4,Latha,Introduction to Buisness System,6.00,6.00,7.00,6.00,7.00,6.00,6.00,6.00,7.00,6.00,6.30
922523244026,Computer Science and Business Systems,4,Manonmani,Machine Learning,9.00,9.00,9.00,8.00,9.00,8.00,8.00,8.00,8.00,8.00,8.40
922523244026,Computer Science and Business Systems,4,Thulasidasan,Environmental Sciences and Sustainability,9.00,9.00,9.00,8.00,9.00,9.00,9.00,9.00,9.00,8.00,8.80
922523244026,Computer Science and Business Systems,4,Pavithra,Database Management Systems Laboratory,6.00,6.00,6.00,6.00,7.00,7.00,7.00,6.00,6.00,7.00,6.40
922523244026,Computer Science and Business Systems,4,Manonmani,Machine Learning Laboratory,8.00,9.00,8.00,8.00,8.00,9.00,8.00,8.00,8.00,8.00,8.20
922523244026,Computer Science and Business Systems,4,Kalyanasundaram,Buisness Communication,9.00,9.00,8.00,9.00,9.00,8.00,8.00,8.00,9.00,9.00,8.60
922523244026,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems Laboratory,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
922523244056,Computer Science and Business Systems,4,Syed Fazlullah,Probability and Statistics,6.00,8.00,7.00,8.00,7.00,7.00,8.00,8.00,8.00,8.00,7.50
922523244056,Computer Science and Business Systems,4,Pavithra,Database Management Systems,8.00,5.00,5.00,7.00,6.00,8.00,8.00,7.00,7.00,8.00,6.90
922523244056,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems,6.00,6.00,7.00,7.00,7.00,6.00,8.00,6.00,8.00,7.00,6.80
922523244056,Computer Science and Business Systems,4,Latha,Introduction to Buisness System,8.00,5.00,8.00,7.00,8.00,7.00,8.00,8.00,9.00,8.00,7.60
922523244056,Computer Science and Business Systems,4,Manonmani,Machine Learning,7.00,7.00,8.00,8.00,8.00,8.00,8.00,7.00,7.00,9.00,7.70
922523244056,Computer Science and Business Systems,4,Thulasidasan,Environmental Sciences and Sustainability,9.00,8.00,7.00,7.00,7.00,7.00,8.00,8.00,8.00,8.00,7.70
922523244056,Computer Science and Business Systems,4,Pavithra,Database Management Systems Laboratory,7.00,4.00,6.00,8.00,8.00,8.00,8.00,8.00,7.00,8.00,7.20
922523244056,Computer Science and Business Systems,4,Manonmani,Machine Learning Laboratory,7.00,8.00,8.00,8.00,7.00,8.00,7.00,8.00,9.00,8.00,7.80
922523244056,Computer Science and Business Systems,4,Kalyanasundaram,Buisness Communication,6.00,8.00,6.00,7.00,6.00,8.00,8.00,8.00,9.00,8.00,7.40
922523244056,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems Laboratory,8.00,6.00,7.00,6.00,6.00,8.00,7.00,8.00,7.00,8.00,7.10
922523244049,Computer Science and Business Systems,4,Syed Fazlullah,Probability and Statistics,10.00,5.00,1.00,9.00,1.00,10.00,8.00,9.00,1.00,10.00,6.40
922523244049,Computer Science and Business Systems,4,Pavithra,Database Management Systems,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
922523244049,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
922523244049,Computer Science and Business Systems,4,Latha,Introduction to Buisness System,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
922523244049,Computer Science and Business Systems,4,Manonmani,Machine Learning,9.00,9.00,10.00,9.00,9.00,5.00,2.00,2.00,5.00,6.00,6.60
922523244049,Computer Science and Business Systems,4,Thulasidasan,Environmental Sciences and Sustainability,9.00,9.00,5.00,2.00,5.00,5.00,8.00,9.00,6.00,7.00,6.50
922523244049,Computer Science and Business Systems,4,Pavithra,Database Management Systems Laboratory,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
922523244049,Computer Science and Business Systems,4,Manonmani,Machine Learning Laboratory,10.00,10.00,9.00,10.00,10.00,10.00,9.00,10.00,10.00,10.00,9.80
922523244049,Computer Science and Business Systems,4,Kalyanasundaram,Buisness Communication,10.00,10.00,10.00,9.00,10.00,10.00,10.00,10.00,10.00,10.00,9.90
922523244049,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems Laboratory,10.00,10.00,9.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,9.90
922523244050,Computer Science and Business Systems,4,Syed Fazlullah,Probability and Statistics,7.00,9.00,7.00,7.00,8.00,8.00,8.00,7.00,7.00,8.00,7.60
922523244050,Computer Science and Business Systems,4,Pavithra,Database Management Systems,8.00,8.00,8.00,8.00,8.00,8.00,8.00,9.00,8.00,8.00,8.10
922523244050,Computer Science and Business Systems,4,Arunjunai Karthick,Operating Systems,8.00,9.00,8.00,9.00,9.00,8.00,7.00,8.00,9.00,8.00,8.30
922523244050,Computer Science and Business Systems,4,Latha,Introduction to Buisness System,9.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.10
922523244050,Computer Science and Business Systems,4,Manonmani,Machine Learning,9.00,8.00,9.00,8.00,8.00,9.00,8.00,8.00,8.00,7.00,8.20
922523244050,Computer Science and Business Systems,4,Thulasidasan,Environmental Sciences and Sustainability,8.00,7.00,7.00,8.00,7.00,6.00,7.00,7.00,8.00,8.00,7.30
922523244050,Computer Science and Business Systems,4,Pavithra,Database Management Systems Laboratory,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,9.00,8.00,8.10
922523244050,Computer Science and Business Systems,4,Manonmani,Machine Learning Laboratory,7.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,7.00,7.80
